company_name,industry,country,city,employee_count,website,decision_maker,decision_maker_title,annual_revenue
CloudNest Technologies,SaaS,India,Bangalore,120,cloudnest.io,Rahul Mehta,Founder & CEO,4500000
Bright Ledger Solutions,Software,India,Pune,85, brightledger.com,Ananya Rao, Co-Founder,2100000
 datawiseAI,Technology,India,Hyderabad,200,datawise.ai,Vikram Shah,VP Sales,7800000
CloudNest Technologies,SaaS,India,Bangalore,120,cloudnest.io,Rahul Mehta,Founder & CEO,4500000
GreenCart Retail,Retail,India,Mumbai,340,greencart.in,Priya Nair,Head of Sales,
Nimbus Cloud Systems,SaaS,India,Chennai,60,nimbuscloud.com,,VP Sales,1900000
FinEdge Analytics,Fintech,India,Delhi,150,finedge.co,Karan Kapoor,Sales Director,5200000
StackForge Labs,Software,India,Bangalore,45,stackforge.dev,Meera Iyer,Founder,1500000
Urban Freight Co,Logistics,India,Gurugram,410,urbanfreight.in,Suresh Pillai,Operations Head,
BLUEWAVE ANALYTICS,SaaS,India,Noida,,bluewaveanalytics.com,Divya Menon,Co-Founder & CEO,3300000
Pixel Forge Studios,Software,India,Pune,30,pixelforge.studio,Arjun Verma,CEO,900000
TerraFarm Agritech,Agriculture,India,Indore,95,terrafarm.in,Neha Joshi,VP Sales,2000000
CodeNorth Systems ,Technology,India,Bangalore,180,codenorth.io,Amit Sinha,Head of Sales,6100000
Skyline SaaS Co,SaaS,USA,Austin,220,skylinesaas.com,John Carter,VP Sales,9000000
Bharat Cloud Works,Software,India,Ahmedabad,70,bharatcloudworks.in,Ritu Bansal,Founder,1700000
DataPulse Inc,Technology,India,Bangalore,500,datapulse.io,Sanjay Gupta,Sales Director,12000000
QuickBooks Retailers,Retail,India,Jaipur,60,,Farhan Ali,Store Manager,800000
CloudMint Software,SaaS,India,Bangalore,,cloudmint.com,,,
NextGen Robotics,Manufacturing,Germany,Munich,300,nextgenrobotics.de,Hans Weber,VP Sales,15000000
Verve Tech Solutions,Technology,India,Hyderabad,130,vervetech.in,Kavya Reddy,Co-Founder,4000000
Lumen Data Systems,SaaS,India,Bangalore,55,lumendata.io,Rohan Das,Founder & Co-Founder,1600000
Metro Grocers Ltd,Retail,India,Kolkata,900,metrogrocers.in,Sunita Roy,Regional Manager,
FlowState Software,software,india,pune,40,flowstate.io,Ishaan Malhotra,Head Of Sales,1100000
Orbit SaaS Labs,SaaS,India,Bangalore,75,orbitsaas.com,Tanvi Shah,VP Sales,2300000
GreenLeaf Organics,Agriculture,India,Nashik,110,greenleaf.in,Deepak Kulkarni,Founder,1800000
Nexora Technologies,Technology,India,Bangalore,160,nexora.tech,Aisha Khan,Sales Director,5000000
,SaaS,India,Bangalore,90,unknownco.io,Rajesh Kumar,VP Sales,2500000
Vantage Point Analytics,SaaS,India,Mumbai,140,vantagepoint.io,Ritika Chawla,Co-Founder & VP Sales,3900000
